종류,분자식,이름,질량수,녹는점,끓는점,밀도,기체색상,액체색상,고체색상
molecule,O2,산소,32,-218.79,-182.962,1.331,0,85cdff,ffffff
molecule,NH3,암모니아,17.03,-77.7,-33.4,0.73,0,0,not
molecule,NaCl,염화나트륨,58.5,801,1413,2060,not,f5f5f5,ffffff
molecule,HCl,염화수소,36.46,-144,-85,1.49,0,0,ffffff
molecule,H2SO4,황산,98.079,10,337,1840,not,0,01A7F5
molecule,H20,물,18.01528,0,99.98,997,0,0,0
molecule,H2,수소,2,-259.2,-252.9,0.0838,0,0,ffffff
molecule,CO2,이산화탄소,44.01,-78.45,-56.55,1.976,0,0,ffffff
molecule,CO,일산화탄소,28.01,-205,-191.5,1.14,0,0,ffffff
molecule,CH4,메테인,16.043,-182.5,-161.5,0.656,0,0,ffffff
molecule,CH3COOH,아세트산,60.052,16.6,118.1,1050,not,0,ffffff
molecule,CaCO3,탄산칼슘,100.0869,825,-,2710,not,0,ffffff
molecule,C6H12O6,포도당,180.156,148,-,1560,not,0,ffffff
molecule,C2H6,에테인,30.07,-181.76,-89,1.36,not,not,not
molecule,C2H5OH,에탄올,46.07,-114.1,78.37,789,not,0,ffffff
molecule,C2H4,에텐,28.03,-169.15,-103.71,1.18,not,not,not
